Compared Sample,704* - S1,704* - S2,704* - S3,AT* - S1,AT* - S2,AT* - S3,GC* - S1,GC* - S2,GC* - S3,400* - S1,400* - S2,400* - S3,1500* - S1,1500* - S2,1500* - S3
704* - S1,1.0,5.87275574004322e-35,8.875464822097658e-17,1.5097803914081953e-38,1.3967728082391013e-18,2.0637469535378054e-39,3.3254011313554887e-34,2.371927618892194e-129,7.765773897039756e-89,0.00044701578265369363,7.250317566162618e-05,6.345039139025719e-17,7.612716782034082e-31,1.0814466782648347e-82,6.788689439999337e-173
704* - S2,5.87275574004322e-35,1.0,1.8858573845051265e-56,0.3740309439127062,8.83930086691593e-06,0.6483048072617741,1.4800232921730415e-128,3.796532655e-314,4.0976228980945636e-237,9.65609935928314e-58,1.535637728303797e-10,4.157998675729263e-05,3.539550337099683e-17,2.996319589261289e-42,1.1737216314668887e-85
704* - S3,8.875464822097658e-17,1.8858573845051265e-56,1.0,1.7312055422007298e-53,3.1546602492069105e-39,3.4677444913222464e-54,0.759613057249838,1.1794394437545564e-08,0.00015449959631943372,9.449655148894366e-10,2.868554321987688e-24,8.546891668366977e-40,3.078637383794682e-45,1.2894682235031445e-106,1.1464609371642782e-176
AT* - S1,1.5097803914081953e-38,0.3740309439127062,1.7312055422007298e-53,1.0,1.0491661529510134e-05,0.6039995557490345,3.7429992946486296e-160,0.0,5.090405495730887e-309,4.669127191654766e-67,5.939230633460605e-10,0.0001359946845874744,2.3516281392719743e-16,5.779956321865149e-42,3.378828256369002e-92
AT* - S2,1.3967728082391013e-18,8.83930086691593e-06,3.1546602492069105e-39,1.0491661529510134e-05,1.0,2.0337986183045356e-06,6.591157933447954e-107,4.712456831551544e-308,8.983710585564493e-218,2.2586068388249324e-37,0.002166160231431592,0.9444598380157205,5.594544034513445e-19,1.0753591591075508e-49,1.4246850336290531e-108
AT* - S3,2.0637469535378054e-39,0.6483048072617741,3.4677444913222464e-54,0.6039995557490345,2.0337986183045356e-06,1.0,1.1865454977976807e-157,0.0,4.501383658110494e-301,1.838075583557249e-67,1.2910988623266989e-10,3.29840303909349e-05,5.855686752901808e-16,1.2219815548867401e-40,1.8368183586333768e-88
GC* - S1,3.3254011313554887e-34,1.4800232921730415e-128,0.759613057249838,3.7429992946486296e-160,6.591157933447954e-107,1.1865454977976807e-157,1.0,1.8390391347104047e-24,2.437708216937808e-11,2.3163586719223965e-19,3.906137103002957e-44,3.848442207448057e-93,2.8095289551017846e-40,5.0521144799493125e-115,1.947008720869821e-252
GC* - S2,2.371927618892194e-129,3.796532655e-314,1.1794394437545564e-08,0.0,4.712456831551544e-308,0.0,1.8390391347104047e-24,1.0,0.0006396731288175715,1.6811470103274223e-96,3.5524794390116878e-127,1.358049363216743e-254,1.3098338998272863e-58,1.0532689642124224e-175,0.0
GC* - S3,7.765773897039756e-89,4.0976228980945636e-237,0.00015449959631943372,5.090405495730887e-309,8.983710585564493e-218,4.501383658110494e-301,2.437708216937808e-11,0.0006396731288175715,1.0,1.8987883246901935e-62,4.0248880821616136e-94,3.886541690606804e-186,9.843605141891423e-54,6.1532551643808295e-158,0.0
400* - S1,0.00044701578265369363,9.65609935928314e-58,9.449655148894366e-10,4.669127191654766e-67,2.2586068388249324e-37,1.838075583557249e-67,2.3163586719223965e-19,1.6811470103274223e-96,1.8987883246901935e-62,1.0,3.8547072970988634e-12,2.2718472610072035e-33,1.97977364356029e-34,1.7792396164115017e-94,2.0418509729787578e-201
400* - S2,7.250317566162618e-05,1.535637728303797e-10,2.868554321987688e-24,5.939230633460605e-10,0.002166160231431592,1.2910988623266989e-10,3.906137103002957e-44,3.5524794390116878e-127,4.0248880821616136e-94,3.8547072970988634e-12,1.0,0.0025923685675179066,1.2399196745354285e-22,9.306978552655339e-57,2.512604717411281e-110
400* - S3,6.345039139025719e-17,4.157998675729263e-05,8.546891668366977e-40,0.0001359946845874744,0.9444598380157205,3.29840303909349e-05,3.848442207448057e-93,1.358049363216743e-254,3.886541690606804e-186,2.2718472610072035e-33,0.0025923685675179066,1.0,3.9658814545378556e-20,1.1743096770682966e-51,4.946203840617732e-108
1500* - S1,7.612716782034082e-31,3.539550337099683e-17,3.078637383794682e-45,2.3516281392719743e-16,5.594544034513445e-19,5.855686752901808e-16,2.8095289551017846e-40,1.3098338998272863e-58,9.843605141891423e-54,1.97977364356029e-34,1.2399196745354285e-22,3.9658814545378556e-20,1.0,0.32986379028661883,0.1331405062199431
1500* - S2,1.0814466782648347e-82,2.996319589261289e-42,1.2894682235031445e-106,5.779956321865149e-42,1.0753591591075508e-49,1.2219815548867401e-40,5.0521144799493125e-115,1.0532689642124224e-175,6.1532551643808295e-158,1.7792396164115017e-94,9.306978552655339e-57,1.1743096770682966e-51,0.32986379028661883,1.0,0.44547392938203656
1500* - S3,6.788689439999337e-173,1.1737216314668887e-85,1.1464609371642782e-176,3.378828256369002e-92,1.4246850336290531e-108,1.8368183586333768e-88,1.947008720869821e-252,0.0,0.0,2.0418509729787578e-201,2.512604717411281e-110,4.946203840617732e-108,0.1331405062199431,0.44547392938203656,1.0
