Compared Sample,ATMi0 - S1,ATMi0 - S2,ATMi0 - S3,ATMi1 - S1,ATMi1 - S2,ATMi1 - S3,ATMi2 - S1,ATMi2 - S2,ATMi2 - S3,ATMi3 - S1,ATMi3 - S2,ATMi3 - S3,ATMi4 - S1,ATMi4 - S2,ATMi4 - S3
ATMi0 - S1,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
ATMi0 - S2,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
ATMi0 - S3,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
ATMi1 - S1,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
ATMi1 - S2,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
ATMi1 - S3,4.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0
ATMi2 - S1,4.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,4.0,4.0,4.0,1.0,3.0,4.0
ATMi2 - S2,4.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
ATMi2 - S3,4.0,4.0,4.0,4.0,4.0,1.0,0.0,3.0,0.0,4.0,4.0,4.0,1.0,3.0,4.0
ATMi3 - S1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0
ATMi3 - S2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0
ATMi3 - S3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,2.0,0.0,0.0
ATMi4 - S1,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,2.0,0.0,0.0,3.0
ATMi4 - S2,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0
ATMi4 - S3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,3.0,0.0,0.0
